,Synonyms,Japanese,Type,Episodes,Status,Aired,Premiered,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,description,name,French,Theme,English,Themes,German,Spanish,Genre,Broadcast,Demographics
1541,,遊☆戯☆王5D's（ファイブディーズ）,TV,154,Finished Airing,"Apr 2, 2008 to Mar 30, 2011",Spring 2008,"TV Tokyo,       Nihon Ad Systems,       Shueisha",Konami,Gallop,Manga,,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"7.451 (scored by 8351183,511 users)      1          indicates a weighted score.",#204222    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1607,"142,971","1,605","Yuusei Fudou is out to get back what was stolen from him.

The world of dueling has evolved, with Riding Duels becoming the peak of entertainment for the residents of Neo Domino City. They are played on D-Wheels, a hybrid between Duel Disks and motorbikes. After the mechanically skilled Yuusei managed to build his own D-Wheel, his former friend Jack Atlas stole it alongside Yuusei's best card, Stardust Dragon; ditching their decrepit hometown of Satellite, he escaped to Neo Domino City.

In the two years since then, Jack has risen to the top of the dueling world, while Yuusei has been making preparations thanks to the help of his friends. With his new D-Wheel finished, he now sets off to Neo Domino City, his only goal to find Jack. Unbeknownst to either of them, there are far bigger things at stake than they can imagine, with puppeteers pulling the strings behind the scenes.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Yu☆Gi☆Oh! 5D's</strong></h1><br/><p class=""title-english title-inherit"">Yu-Gi-Oh! 5D's</p></div>",Yu-Gi-Oh! 5D's,Strategy GameStrategy Game,Yu-Gi-Oh! 5D's,,Yu-Gi-Oh! 5D's,Yu-Gi-Oh! 5D's,ActionAction,,
1542,,エンジェルビーツ! アナザーエピローグ,Special,1,Finished Airing,"Dec 22, 2010",,"Aniplex,       Visual Arts","None found, add some",P.A. Works,Original,,,2 min.,PG-13 - Teens 13 or older,"7.451 (scored by 144813144,813 users)      1          indicates a weighted score.",#204322    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1004,"243,839",234,"Disillusioned with the afterlife, a new student causes a scene during a classroom test and expresses his doubts about whether getting good grades can really lead to escaping the school and ascending to Heaven. Afterwards,  he is confronted by the new student council president—a familiar face whose past experiences give him powerful insight into the true nature of the school and first-hand knowledge regarding the futility of rebellion.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Angel Beats! Another Epilogue</strong></h1></div>",,SchoolSchool,,,,,SupernaturalSupernatural,,
1543,"Captain Tsubasa (2001), Road to World Cup 2002, Road to Dream",キャプテン翼 (2001),TV,52,Finished Airing,"Oct 7, 2001 to Oct 6, 2002",Fall 2001,"Madhouse,       TV Tokyo,       Dentsu","None found, add some",Group TAC,Manga,,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"7.451 (scored by 3696536,965 users)      1          indicates a weighted score.",#204422    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#2875,"59,274",316,"Tsubasa Oozora loves everything about soccer: the cheer of the crowd, the speed of the ball, the passion of the players, and the excitement that comes from striving to be the best soccer player he can be. His goal is to aim for the World Cup, and to do that, he’s spent countless hours practicing soccer, ever since the moment he could walk on two legs. Now, as he plays for the Barcelona team in a fierce game, it seems as though his dreams are on the verge of coming true.

Captain Tsubasa: Road to 2002 tells the story of how Tsubasa climbed his way through the ranks, featuring his roots in the town of Nankatsu as well as his epic journey to master the art of soccer.","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Captain Tsubasa: Road to 2002</strong></h1><br/><p class=""title-english title-inherit"">Captain Tsubasa</p></div>",,Team SportsTeam Sports,Captain Tsubasa,,,,SportsSports,Unknown,
1544,,ちおちゃんの通学路,TV,12,Finished Airing,"Jul 6, 2018 to Sep 21, 2018",Summer 2018,"None found, add some",Funimation,Diomedéa,Manga,,SeinenSeinen,23 min. per ep.,PG-13 - Teens 13 or older,"7.451 (scored by 5263152,631 users)      1          indicates a weighted score.",#204522    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1824,"120,832",412,"For the average Japanese high school student, walking to school can be a chore, but for first-year Chio Miyamo, it's always an adventure. Constantly running late due to her long night sessions playing video games, she is forced to come up with new routes to make it to Samejima Private Academy on time. 

On her many bizarre journeys to school, Chio contends with obstacles like street-blocking detours, overzealous kabaddi players, and befuddled motorcycle gang leaders. But these minor hindrances are no match for the special ops training that Chio, AKA the legendary assassin ""Bloody Butterfly,"" has received from her extensive gaming obsession. Together with her best friends Manana Nonomura and Yuki Hosokawa, Chio will do whatever it takes to avoid her school's harsh penalties for tardiness.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Chio-chan no Tsuugakuro</strong></h1><br/><p class=""title-english title-inherit"">Chio's School Road</p></div>",Chio's School Road,,Chio's School Road,,Chio's School Road,Chio's School Road,ComedyComedy,,
1545,,コードギアス 亡国のアキト 第２章「引き裂かれし翼竜」,Movie,1,Finished Airing,"Sep 14, 2013",,"Bandai Visual,       Bandai,       Bandai Namco Entertainment,       Hakuhodo DY Media Partners",Funimation,Sunrise,Original,,,59 min.,R - 17+ (violence & profanity),"7.451 (scored by 7151971,519 users)      1          indicates a weighted score.",#204622    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1659,"137,290",207,"With her previous triumphs under her belt, Leila Malcal has now been promoted to Lieutenant Colonel and commanding officer of W-0. After having foiled an attempt to kidnap the General of the European army, she recruits the three perpetrators in order to make up for the lack of W-0's pilots. Ayano Kosaka, Yukiya Naruse, and ringleader Ryou Sayama accept, in hopes of finding a place to belong. When they are ordered to perform a commando raid by dropping into enemy lines, Leila decides to join them to prevent unnecessary casualties.

As the unit rushes into the fight, Akito finds himself possessed by an uncontrollable lust for violence, slaughtering anyone that gets in his way. Little does he know, he is soon to come face to face with the one responsible for placing the bloodthirsty curse upon him, someone he is far too familiar with...

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu</strong></h1><br/><p class=""title-english title-inherit"">Code Geass: Akito the Exiled - The Wyvern Divided</p></div>",,,,"MechaMecha,         MilitaryMilitary",,,ActionAction,,
1546,,クレヨンしんちゃん 嵐を呼ぶ アッパレ! 戦国大合戦,Movie,1,Finished Airing,"Apr 20, 2002",,TV Asahi,"None found, add some",Shin-Ei Animation,Manga,"Award WinningAward Winning,         DramaDrama,         RomanceRomance",SeinenSeinen,1 hr. 35 min.,G - All Ages,"7.451 (scored by 32343,234 users)      1          indicates a weighted score.",#204722    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#7956,"5,959",15,"A full-scale historical drama set in the last days (the year 1574) of the Sengoku Era of feudal Japan. It is the story of the Nohara family, who has been transferred into the Sengoku Era by time warp, and a tragic love between a princess Ren Kasuga (a daughter of the feudal lord Kasuga at the Province of Musashi) and a samurai warrior Matabei Ijiri (a retainer of the Lord Kasuga).

(Source: Manabu Tsuribe)","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Crayon Shin-chan Movie 10: Arashi wo Yobu Appare! Sengoku Daikassen</strong></h1></div>",,,,"HistoricalHistorical,         SamuraiSamurai",,,,,
1547,,クレヨンしんちゃん 超時空！嵐を呼ぶオラの花嫁,Movie,1,Finished Airing,"Apr 17, 2010",,TV Asahi,"None found, add some",Shin-Ei Animation,Manga,"AdventureAdventure,         ComedyComedy,         Sci-FiSci-Fi",SeinenSeinen,1 hr. 40 min.,G - All Ages,"7.451 (scored by 44074,407 users)      1          indicates a weighted score.",#204822    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#7375,"7,176",15,"Comical action adventure film set in the future world, like a dystopian science fiction. Shinnosuke's future fiancee, Tamiko Kaneari comes from the future via the time machine. She says her father Masuzo Kaneari captures adult Shinnosuke in the future world and they needs the power of Shinnosuke at age 5 to rescue him. She takes Shinnosuke and Kasukabe Defense Forces members to the future big city Neotokio, which is the world ruled by Masuzo Kaneari, the president of the electric power company Kaneari Electric. 

(Source: Manabu Tsuribe)","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome</strong></h1></div>",,,,,,,,,
1548,"Dalisi Rizhi 2, The Journal of Dali Temple 2",大理寺日志 第2季,ONA,12,Finished Airing,"Nov 26, 2022 to Jan 28, 2023",,"Tencent Penguin Pictures,       Ai Si Animation Studio","None found, add some",Nice Boat Animation,Web manga,"ActionAction,         ComedyComedy,         FantasyFantasy,         MysteryMystery",,27 min. per ep.,PG-13 - Teens 13 or older,7.451 (scored by 331331 users)      1          indicates a weighted score.,#204922    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#12802,"1,251",6,Second season of Da Li Si Rizhi.,"<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Da Li Si Rizhi 2nd Season</strong></h1><br/><p class=""title-english title-inherit"">White Cat Legend Season 2</p></div>",,,White Cat Legend Season 2,"AnthropomorphicAnthropomorphic,         HistoricalHistorical,         Martial ArtsMartial Arts,         MythologyMythology",,,,,
1549,DIY!!,Do It Yourself!! -どぅー・いっと・ゆあせるふ-,TV,12,Finished Airing,"Oct 6, 2022 to Dec 22, 2022",Fall 2022,"TV Tokyo,       AT-X,       TV Tokyo Music,       Avex Pictures,       BS11,       Sumitomo,       MAGNET","None found, add some",PINE JAM,Original,,,23 min. per ep.,PG-13 - Teens 13 or older,"7.451 (scored by 4097640,976 users)      1          indicates a weighted score.",#205022    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1978,"108,537",576,"The Fourth Industrial Revolution has led to the development of cutting-edge technologies that have rapidly evolved the world. As a result, schools have begun incorporating these technologies into their curriculum, leaving behind the ways of the old. One such institution is the elite Yuyu Girls' Vocational High School, where both Serufu Yua and her childhood friend, Miku ""Purin"" Suride, have applied. Although the tech-savvy Purin is accepted to Yuyu High, the accident-prone Serufu is rejected and enters the traditional Gatagata Girls' High School instead, driving a wedge into their friendship.

On her way to class one day, Serufu gets into a bike accident, and Rei Yasaku, a passerby who attends the same school, fixes her damaged bicycle. Serufu later finds out that Rei has a passion for old-fashioned crafts and is the head of the school's Do-It-Yourself (DIY) Club—which is in danger of closing due to a lack of members.

Realizing that this may be her chance to repair her relationship with Purin, Serufu joins the club in hopes of creating projects that could bring them together once more. As the DIY Club welcomes new faces, Serufu learns to build not only handicrafts but also new friendships along the way!

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Do It Yourself!!</strong></h1></div>",,,Do It Yourself!!,"CGDCTCGDCT,         SchoolSchool",,,Slice of LifeSlice of Life,,
1550,"DanMachi Movie, Is It Wrong That I Want to Meet You in a Dungeon Movie",劇場版 ダンジョンに出会いを求めるのは間違っているだろうか -オリオンの矢-,Movie,1,Finished Airing,"Feb 15, 2019",,"Genco,       Movic,       Warner Bros. Japan,       KlockWorx,       SoftBank Creative,       Hakuhodo DY Music & Pictures,       Egg Firm,       FuRyu,       GREE",Sentai Filmworks,J.C.Staff,Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy",,1 hr. 22 min.,PG-13 - Teens 13 or older,"7.451 (scored by 107165107,165 users)      1          indicates a weighted score.",#205122    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1135,"215,206",451,"Continuing his adventure to get stronger in order to traverse deeper into the ""Dungeon,"" Bell Cranel wanders the Orario city streets with his friends and the goddess Hestia. That evening, the city is filled with stalls and games as it celebrates the Holy Moon Festival.

Hermes, a god, hosts one such activity where participants are asked to pull a spear embedded in a crystal boulder; those who succeed will receive a special gift: a trip around the world and a divine blessing from the gods! Bell and his merry group challenge one another to claim the prize. But behind the facade of an innocent party game lies a preface for a daring quest ahead.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya</strong></h1><br/><p class=""title-english title-inherit"">Is It Wrong to Try to Pick Up Girls in a Dungeon?: Arrow of the Orion</p></div>",,,,,,,,,
1551,Shinseki-GPX Cyber Formula Sin,新世紀ＧＰＸサイバーフォーミュラＳＩＮ,OVA,5,Finished Airing,"Dec 21, 1998 to Mar 17, 2000",,"None found, add some","None found, add some",Sunrise,Original,"DramaDrama,         Sci-FiSci-Fi",,30 min. per ep.,PG-13 - Teens 13 or older,"7.451 (scored by 13141,314 users)      1          indicates a weighted score.",#205222    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#9901,"3,187",18,"After Aoi Zip Formula was banned for one year from Cyber Formula racing due to cheating, Jotaro Kaga, alias Bleed Kaga, returns for the 17th Cyber Formula World Grand Prix. However his old car is no match for the returning champion Hayato Kazami, whose skill has improved tremendously, and his Nu-Asurada AKF-0. An old face, Kyoshiro Nagumo, appears suddenly to him and offers him the Ogre AN-21: a prototype to the Bio-Computer operated Al-Zard series created by the developers of the Asurada, and an ultimate racing machine that only a few can drive. Kaga must now master this car, confront his own inner demons and, most importantly, defeat his longtime rival Hayato in what is possibly Kaga's last and greatest Cyber Formula season.

(Source: ANN)","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Future GPX Cyber Formula Sin</strong></h1></div>",,RacingRacing,,,,,,,
1552,,ヘタリア The Beautiful World,Special,4,Finished Airing,"Apr 24, 2013 to Oct 30, 2013",,Frontier Works,Funimation,Studio Deen,Web manga,,,5 min. per ep.,PG-13 - Teens 13 or older,"7.451 (scored by 76807,680 users)      1          indicates a weighted score.",#205322    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#5058,"18,396",18,"Special episodes released with the Hetalia: The Beautiful World BD/DVDs.

Include 4 episodes:

Extra 1: Buon San Valentino - First Part
Extra 2: Buon San Valentino - Last Part
Extra 3: The Centennial Gift
Extra 4: Liechtenstein and the Hedgehog Country","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Hetalia: The Beautiful World Specials</strong></h1></div>",,,,"AnthropomorphicAnthropomorphic,         HistoricalHistorical,         ParodyParody",,,ComedyComedy,,
1553,Hime-chan's Ribbon,姫ちゃんのリボン,TV,61,Finished Airing,"Oct 2, 1992 to Dec 3, 1993",Fall 1992,Nihon Ad Systems,"None found, add some",Gallop,Manga,"ComedyComedy,         FantasyFantasy,         RomanceRomance",ShoujoShoujo,24 min. per ep.,PG - Children,"7.451 (scored by 34533,453 users)      1          indicates a weighted score.",#205422    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#6362,"10,260",81,"Erika, the princess of the Magic Kingdom has come to Earth in order to find a human girl who looks just like her. That girl turns out to be Himeko Nonohara, a tomboy's tomboy. Erika must give Himeko a magical item she has created in order to prove her worth as a successor to the crown. Himeko must test this item, a hair ribbon that allows her to transform into any other person she sees, to see if it is worthy. The series follows Himeko's adventures and her budding romance with Daichi, the boy who discovers her secret.

(Source: ANN)","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Hime-chan no Ribbon</strong></h1></div>",,SchoolSchool,,,,,,,
1554,Shin Kyuuseishu Densetsu Hokuto no Ken Raou-den Junai no Shou,真救世主伝説 北斗の拳 ラオウ伝 殉愛の章,Movie,1,Finished Airing,"Mar 11, 2006",,North Stars Pictures,Discotek Media,TMS Entertainment,Manga,"ActionAction,         AdventureAdventure",ShounenShounen,1 hr. 35 min.,R - 17+ (violence & profanity),"7.451 (scored by 54915,491 users)      1          indicates a weighted score.",#205522    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#5945,"12,126",19,"Kenshiro is the heir of the legendary martial arts known as Hokuto Shinken, which can kill a man with a single blow, by striking the pressure points in the enemy's body. Hokuto Shinken can be passed only to one successor at a time. When he was chosen as the successor, he parted ways with his brothers, Toki and Raoh. The former decided to use what he knew of the art to cure people... while the latter has chosen to use his supreme strength to install peace in the world by power. 
Kenshiro is accompanied by Lynn and Bart, and the movie's story begins when an overlord starts kidnapping children to use them as slaves for building his own pyramid... 

(Source: AniDB)","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Hokuto no Ken: Raoh Gaiden Junai-hen</strong></h1><br/><p class=""title-english title-inherit"">Fist of the North Star: Raoh Side Story Junai Arc</p></div>",,Martial ArtsMartial Arts,,,,,,,
1555,,グレッシブ烈子,ONA,10,Finished Airing,"Feb 16, 2023",,Sanrio,"None found, add some",Fanworks,Other,,,18 min. per ep.,PG-13 - Teens 13 or older,"7.441 (scored by 1545215,452 users)      1          indicates a weighted score.",#205622    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#4198,"28,174",56,Fifth season of Aggressive Retsuko.,"<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Aggressive Retsuko (ONA) 5th Season</strong></h1><br/><p class=""title-english title-inherit"">Aggretsuko (ONA) 5th Season</p></div>",,,Aggretsuko (ONA) 5th Season,"AnthropomorphicAnthropomorphic,         WorkplaceWorkplace",,,ComedyComedy,,
1556,"Aishiteru ze Baby, Love You Baby, Babe, My Love, I Love You, Baby",愛してるぜ ベイベ★★,TV,26,Finished Airing,"Apr 3, 2004 to Oct 9, 2004",Spring 2004,"Animax,       Toei Video,       Sunny Side Up","None found, add some",TMS Entertainment,Manga,"ComedyComedy,         DramaDrama,         RomanceRomance",ShoujoShoujo,25 min. per ep.,PG-13 - Teens 13 or older,"7.441 (scored by 5405954,059 users)      1          indicates a weighted score.",#205722    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#2038,"103,758",557,"Katakura Kippei is in every way a high school playboy. Spending his days flirting with any girl he can see, responsibility is the last thing on his mind. Life takes an unexpected turn for him as one day he returns home to find himself with the full-time task of caring for his 5-year-old cousin. Kippei's aunt Miyako had disappeared, appearing to have abandoned his cousin, Yuzuyu. With Kippei's lack of responsibility and knowledge of childcare and Yuzuyu's injured heart with the disappearance of her mother, their time together is in for a bumpy ride.","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Aishiteruze Baby★★</strong></h1></div>",Babe My Love,ChildcareChildcare,,,,,,,
1557,,《崩坏：星穹铁道》：「飞光」,ONA,1,Finished Airing,"May 10, 2023",,"None found, add some","None found, add some","Studio Ppuri,       miHoYoAnime",Game,"ActionAction,         Sci-FiSci-Fi",,4 min.,PG-13 - Teens 13 or older,7.441 (scored by 351351 users)      1          indicates a weighted score.,#205822    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#15029,654,3,"Year 7380 Star Calendar, Jingliu, the mara-stricken swordmaster of the Luofu, slashed her way out of Starskiff Haven, cutting through the Cloud Knights tasked to subdue her before vanishing in the mist of history.

Year 8096 Star Calendar, a young soldier named Yanqing rose to fame from the tournament hosted by the Seat of Divine Foresight, and was conferred the rank of Cloud Knight Lieutenant.

""The years pass in a flash, cups of wine the only solace.""

A fleeting flash — thus is the speed of swift blades as the master and her student spar, and thus is the passage of the unceasing torrent of time.

Just how long has it been?

His duel with his master, centuries ago, still rippled like a memory from yesterday.

But the few years between now and when he took in the boy as his student felt like a lifetime.

Time gallops, swift as a stallion, sudden as a lightning strike, agonizing as a blade that runs him through. And yet, it feels like everything has always been the same.

(Source: Youtube)","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Beng Huai: Xing Qiong Tiedao - Fei Guang</strong></h1><br/><p class=""title-english title-inherit"">Honkai: Star Rail - A Flash</p></div>",,Martial ArtsMartial Arts,,,,,,,
1558,,劇場版 BLEACH MEMORIES OF NOBODY,Movie,1,Finished Airing,"Dec 16, 2006",,"TV Tokyo,       Dentsu,       Shueisha",VIZ Media,Pierrot,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",ShounenShounen,1 hr. 33 min.,PG-13 - Teens 13 or older,"7.441 (scored by 173781173,781 users)      1          indicates a weighted score.",#205922    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#866,"281,782",635,"When a life ends, its soul departs to its final resting place known as the Soul Society. However, if a soul is left to wander in the human world for too long, it ends up turning into a corrupted ""Hollow"" that feeds on other souls. In such cases, spirits called ""Soul Reapers"" are needed to eliminate the Hollows and guide the lost souls to the Soul Society.

Ichigo Kurosaki and Rukia Kuchiki are two Soul Reapers who are used to dealing with Hollows that appear in Karakura Town. But when they encounter the hostile ""Blanks""—souls devoid of memories and immune to the ""soul burial"" used by Reapers—they are thrown for a loop. Senna, a fellow Reaper that neither Ichigo or Rukia are familiar with, comes to their rescue and manages to fend off the Blanks. The mystery deepens when a mirage of the human world suddenly appears over Soul Society. What could be the reason behind the strange phenomena, and how is it connected to Senna, who avoids any questions about her identity?

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Bleach Movie 1: Memories of Nobody</strong></h1><br/><p class=""title-english title-inherit"">Bleach the Movie: Memories of Nobody</p></div>",,,,,,,,,
1559,,中二病でも恋がしたい！戀 再生の･･･邪王真眼黙示録（The Rikka Wars）,Special,1,Finished Airing,"Sep 17, 2014",,Lantis,Sentai Filmworks,Kyoto Animation,Light novel,"ComedyComedy,         DramaDrama,         RomanceRomance",,23 min.,PG-13 - Teens 13 or older,"7.441 (scored by 7166471,664 users)      1          indicates a weighted score.",#206022    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1671,"135,390",121,"One normal school day, Rikka Takanashi notices Makoto Isshiki secretly passing a flash drive to Yuuta Togashi. Curious, Rikka talks to her friends about the case, who agree that Yuuta is hiding something from her. They decide to discover the contents of the flash drive by any means necessary, but to their surprise, it merely contained pictures of an idol that Yuuta adored back in middle school. However, Rikka takes offense, as she claims that this breaks their contract as lovers and demands Yuuta to return the flash drive.

Although having seen Yuuta return the flash drive, she still felt uncertain about the situation. This leads to her sneaking into Yuuta's room during the night, only to find out that the flash drive had not been returned! Scanning through its contents, she hurriedly rushes to bed when Yuuta enters her room. To her terror, she finds the flash drive crushed due to her negligence in keeping it in a safe place. Yuuta quickly finds out and demands an apology. However, Rikka too, demands an apology from him, resulting in both of them refusing to be the one to apologize first. Will the two lovebirds be able to resolve their argument?

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars</strong></h1><br/><p class=""title-english title-inherit"">Love, Chunibyo &amp; Other Delusions!: Heart Throb - The Rikka Wars</p></div>",,SchoolSchool,,,,,,,
1560,,DAYS東院学園戦！,OVA,3,Finished Airing,"Mar 16, 2018 to Jul 17, 2018",,"None found, add some","None found, add some",MAPPA,Manga,,ShounenShounen,26 min. per ep.,PG-13 - Teens 13 or older,"7.441 (scored by 73607,360 users)      1          indicates a weighted score.",#206122    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#4502,"24,215",48,"Sequel to DAYS.

The final match against Touyin Gakuin for National High School Soccer Tournament Tokyo Preliminary.

(Source: MAL News)","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Days: Touin Gakuen-sen!</strong></h1></div>",,,,"SchoolSchool,         Team SportsTeam Sports",,,SportsSports,,
1561,Digimon tri. 2,デジモンアドベンチャーtri.（トライ）第２章「決意」,Movie,1,Finished Airing,"Mar 12, 2016",,"Bandai,       Ai Addiction",Shout! Factory,Toei Animation,Original,"ActionAction,         AdventureAdventure,         ComedyComedy,         DramaDrama",,1 hr. 28 min.,PG-13 - Teens 13 or older,"7.441 (scored by 4625446,254 users)      1          indicates a weighted score.",#206222    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#2368,"81,860",90,"Infected Digimon—digital monsters who have begun acting in a berserk manner and experiencing a bizarre increase in power—are invading the real world. While Maki Himekawa and Daigo Nishijima, agents of the mysterious Incorporated Administrative Agency, attempt to learn more about these disruptive appearances, most of the Chosen Children are busy preparing for Tsukishima General High School's summer festival.

Mimi Tachikawa, having recently returned to Japan after living in the United States for years, struggles to find her footing among her classmates and fellow Chosen Children. Meanwhile, by throwing himself into his studies, Jou Kido has been deliberately avoiding all issues related to Digimon, causing his partner Gomamon to run away. Mimi and Jou's individual actions cause friction within the group even as the threat of infected Digimon still looms over them. Will the two resolve their personal conflicts in time to help their friends fight off the latest threat?

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Digimon Adventure tri. 2: Ketsui</strong></h1><br/><p class=""title-english title-inherit"">Digimon Adventure tri. Determination</p></div>",,,Digimon Adventure tri. Determination,,Digimon Adventure tri. Film 2 - Determination,,,,
1562,"Dragon Ball Chou, DB Super, DBS",ドラゴンボール超（スーパー）,TV,131,Finished Airing,"Jul 5, 2015 to Mar 25, 2018",Summer 2015,"Yomiko Advertising,       Fuji TV",Funimation,Toei Animation,Manga,"ActionAction,         AdventureAdventure,         ComedyComedy,         FantasyFantasy",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.441 (scored by 537218537,218 users)      1          indicates a weighted score.",#206322    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#216,"832,744","10,567","Seven years after the defeat of Majin Buu, Earth is at peace, and its people live free from any dangers lurking in the universe. However, this peace is short-lived; a sleeping threat awakens in the dark reaches of the galaxy: Beerus, the ruthless God of Destruction.

Disturbed by a prophecy that he will be defeated by a ""Super Saiyan God,"" Beerus and his angelic attendant Whis search the universe for this mysterious being. Before long, they reach Earth and encounter Gokuu Son, one of the planet's mightiest warriors, and his powerful friends.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Dragon Ball Super</strong></h1></div>",,,Dragon Ball Super,"Martial ArtsMartial Arts,         Super PowerSuper Power",,,,,
1563,,ガヴリールドロップアウト,TV,12,Finished Airing,"Jan 9, 2017 to Mar 27, 2017",Winter 2017,"AT-X,       Sony Music Communications,       Kadokawa Media House,       NTT Plala,       Kadokawa","None found, add some",Doga Kobo,Manga,"ComedyComedy,         SupernaturalSupernatural",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.441 (scored by 237658237,658 users)      1          indicates a weighted score.",#206422    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#494,"458,427","3,129","For centuries, Heaven has required its young angels to live and study among humans in order to become full-fledged angels. This is no different for top-of-her-class Gabriel White Tenma, who believes it is her mission to be a great angel who will bring happiness to mankind. However, Gabriel grows addicted to video games on Earth and eventually becomes a hikikomori. Proclaiming herself a ""Fallen Angel,"" she is apathetic to everything else—much to the annoyance of Vignette April Tsukinose, a demon whom Gabriel befriended in her angelic early days on Earth.

Vignette's attempts to revert Gabriel back to her previous self are in vain, as Gabriel shoots down any attempt to change her precious lifestyle. As they spend their time on Earth, they meet two eccentric personalities: the angel Raphiel Ainsworth Shiraha, Gabriel's classmate with a penchant for sadism, and the demon Satanichia McDowell Kurumizawa, a clumsy self-proclaimed future ruler of the Underworld.

Gabriel DropOut follows these four friends' comedic lives as they utterly fail to understand what it truly means to be a demon or an angel.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Gabriel DropOut</strong></h1></div>",,,Gabriel DropOut,"CGDCTCGDCT,         MythologyMythology,         SchoolSchool",,,,,
